title,artist,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/40NRm1ZLvZpUSCUXAGGZ8J,0.598,0.673,2.0,-10.431,1.0,0.0693,0.0422,6.9e-05,0.289,0.59,102.034,40NRm1ZLvZpUSCUXAGGZ8J,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J,https://api.spotify.com/v1/tracks/40NRm1ZLvZpUSCUXAGGZ8J,https://api.spotify.com/v1/audio-analysis/40NRm1ZLvZpUSCUXAGGZ8J,197693.0,4.0
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/4mhJ5UY7hlpFZm6RtELDm1,0.621,0.764,2.0,-8.702,1.0,0.0578,0.146,4.97e-05,0.161,0.745,102.288,4mhJ5UY7hlpFZm6RtELDm1,spotify:track:4mhJ5UY7hlpFZm6RtELDm1,https://api.spotify.com/v1/tracks/4mhJ5UY7hlpFZm6RtELDm1,https://api.spotify.com/v1/audio-analysis/4mhJ5UY7hlpFZm6RtELDm1,197936.0,4.0
What's Good for the Goose,Carl Douglas,https://open.spotify.com/track/11SrvCEGNPmdhqVFnpruZf,0.825,0.565,2.0,-8.263,1.0,0.159,0.231,0.00071,0.0659,0.821,92.469,11SrvCEGNPmdhqVFnpruZf,spotify:track:11SrvCEGNPmdhqVFnpruZf,https://api.spotify.com/v1/tracks/11SrvCEGNPmdhqVFnpruZf,https://api.spotify.com/v1/audio-analysis/11SrvCEGNPmdhqVFnpruZf,232229.0,4.0
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/6KgyxQjlPcVCAYHv9diD5U,0.735,0.939,11.0,-4.07,0.0,0.0646,0.00178,3.88e-05,0.0739,0.54,116.016,6KgyxQjlPcVCAYHv9diD5U,spotify:track:6KgyxQjlPcVCAYHv9diD5U,https://api.spotify.com/v1/tracks/6KgyxQjlPcVCAYHv9diD5U,https://api.spotify.com/v1/audio-analysis/6KgyxQjlPcVCAYHv9diD5U,231800.0,4.0
Satisfaction,Carl Douglas,https://open.spotify.com/track/0gB4Wd3SWmjrpQuOynpzT9,0.64,0.526,7.0,-4.039,1.0,0.0777,0.433,5.2e-05,0.0827,0.763,172.384,0gB4Wd3SWmjrpQuOynpzT9,spotify:track:0gB4Wd3SWmjrpQuOynpzT9,https://api.spotify.com/v1/tracks/0gB4Wd3SWmjrpQuOynpzT9,https://api.spotify.com/v1/audio-analysis/0gB4Wd3SWmjrpQuOynpzT9,101360.0,4.0
Doctor's Orders,Carl Douglas,https://open.spotify.com/track/0mOIj8tjNHcOBWSTGXmGVr,0.638,0.712,0.0,-11.103,1.0,0.0658,0.0499,0.667,0.259,0.917,126.334,0mOIj8tjNHcOBWSTGXmGVr,spotify:track:0mOIj8tjNHcOBWSTGXmGVr,https://api.spotify.com/v1/tracks/0mOIj8tjNHcOBWSTGXmGVr,https://api.spotify.com/v1/audio-analysis/0mOIj8tjNHcOBWSTGXmGVr,182544.0,4.0
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/4FiWYfYBJmlnIq8NkMbPtY,0.737,0.855,11.0,-10.318,0.0,0.0646,0.00469,1.67e-05,0.163,0.583,116.023,4FiWYfYBJmlnIq8NkMbPtY,spotify:track:4FiWYfYBJmlnIq8NkMbPtY,https://api.spotify.com/v1/tracks/4FiWYfYBJmlnIq8NkMbPtY,https://api.spotify.com/v1/audio-analysis/4FiWYfYBJmlnIq8NkMbPtY,232840.0,4.0
Kung Fu Fighting - Dave Ruffy & Mark Wallis Remix,Carl Douglas,https://open.spotify.com/track/0O0z6vHNbZJMuG8UuKDTV0,0.65,0.795,2.0,-6.907,1.0,0.0444,0.000265,3.74e-05,0.132,0.337,101.984,0O0z6vHNbZJMuG8UuKDTV0,spotify:track:0O0z6vHNbZJMuG8UuKDTV0,https://api.spotify.com/v1/tracks/0O0z6vHNbZJMuG8UuKDTV0,https://api.spotify.com/v1/audio-analysis/0O0z6vHNbZJMuG8UuKDTV0,195160.0,4.0
Satisfaction,Carl Douglas,https://open.spotify.com/track/20y4i5i8JBwrlre86Om8W9,0.772,0.406,0.0,-6.347,1.0,0.24,0.81,0.00966,0.075,0.497,88.14,20y4i5i8JBwrlre86Om8W9,spotify:track:20y4i5i8JBwrlre86Om8W9,https://api.spotify.com/v1/tracks/20y4i5i8JBwrlre86Om8W9,https://api.spotify.com/v1/audio-analysis/20y4i5i8JBwrlre86Om8W9,109947.0,4.0
Kung Fu Fighting,Carl Douglas,https://open.spotify.com/track/022iToWlydfSqSQRgZ9ltB,0.621,0.764,2.0,-8.702,1.0,0.0578,0.146,4.97e-05,0.161,0.745,102.288,022iToWlydfSqSQRgZ9ltB,spotify:track:022iToWlydfSqSQRgZ9ltB,https://api.spotify.com/v1/tracks/022iToWlydfSqSQRgZ9ltB,https://api.spotify.com/v1/audio-analysis/022iToWlydfSqSQRgZ9ltB,197936.0,4.0
American Pie,Don McLean,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,0.531,0.481,4.0,-11.709,0.0,0.06,0.699,0.0,0.0842,0.491,138.45,1fDsrQ23eTAVFElUMaf38X,spotify:track:1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X,516893.0,4.0
Vincent,Don McLean,https://open.spotify.com/track/0VNzEY1G4GLqcNx5qaaTl6,0.419,0.085,7.0,-19.387,1.0,0.0362,0.908,5.33e-06,0.34,0.458,91.509,0VNzEY1G4GLqcNx5qaaTl6,spotify:track:0VNzEY1G4GLqcNx5qaaTl6,https://api.spotify.com/v1/tracks/0VNzEY1G4GLqcNx5qaaTl6,https://api.spotify.com/v1/audio-analysis/0VNzEY1G4GLqcNx5qaaTl6,243493.0,3.0
American Pie,Don McLean,https://open.spotify.com/track/2QgWuCtBpNIpl5trmKCxRf,0.526,0.509,7.0,-10.893,1.0,0.0628,0.6,0.0,0.144,0.497,138.318,2QgWuCtBpNIpl5trmKCxRf,spotify:track:2QgWuCtBpNIpl5trmKCxRf,https://api.spotify.com/v1/tracks/2QgWuCtBpNIpl5trmKCxRf,https://api.spotify.com/v1/audio-analysis/2QgWuCtBpNIpl5trmKCxRf,515867.0,4.0
Winterwood,Don McLean,https://open.spotify.com/track/2k6wHVi4WetZAHr6liaZbl,0.651,0.342,9.0,-15.601,1.0,0.0297,0.761,0.000106,0.149,0.713,147.724,2k6wHVi4WetZAHr6liaZbl,spotify:track:2k6wHVi4WetZAHr6liaZbl,https://api.spotify.com/v1/tracks/2k6wHVi4WetZAHr6liaZbl,https://api.spotify.com/v1/audio-analysis/2k6wHVi4WetZAHr6liaZbl,190827.0,4.0
And I Love You So,Don McLean,https://open.spotify.com/track/4bgfMOKbX5q7XHRECffBl5,0.31,0.187,11.0,-15.96,1.0,0.0285,0.703,0.203,0.206,0.127,90.977,4bgfMOKbX5q7XHRECffBl5,spotify:track:4bgfMOKbX5q7XHRECffBl5,https://api.spotify.com/v1/tracks/4bgfMOKbX5q7XHRECffBl5,https://api.spotify.com/v1/audio-analysis/4bgfMOKbX5q7XHRECffBl5,257693.0,4.0
Don McLean,Don McLean,https://open.spotify.com/track/6t01tPj0c50FEhZMklACPf,0.493,0.225,2.0,-11.986,1.0,0.0336,0.821,0.00077,0.12,0.232,148.647,6t01tPj0c50FEhZMklACPf,spotify:track:6t01tPj0c50FEhZMklACPf,https://api.spotify.com/v1/tracks/6t01tPj0c50FEhZMklACPf,https://api.spotify.com/v1/audio-analysis/6t01tPj0c50FEhZMklACPf,200063.0,4.0
Vincent,Don McLean,https://open.spotify.com/track/3VAIny0fsmbiZCwt3817Ay,0.449,0.168,7.0,-14.907,1.0,0.0357,0.867,0.0,0.248,0.45,113.394,3VAIny0fsmbiZCwt3817Ay,spotify:track:3VAIny0fsmbiZCwt3817Ay,https://api.spotify.com/v1/tracks/3VAIny0fsmbiZCwt3817Ay,https://api.spotify.com/v1/audio-analysis/3VAIny0fsmbiZCwt3817Ay,239867.0,3.0
Castles in the Air,Don McLean,https://open.spotify.com/track/5RSeCwyPtZckl0GNNj7Rv5,0.421,0.473,4.0,-13.436,1.0,0.0333,0.361,9.93e-06,0.288,0.717,84.503,5RSeCwyPtZckl0GNNj7Rv5,spotify:track:5RSeCwyPtZckl0GNNj7Rv5,https://api.spotify.com/v1/tracks/5RSeCwyPtZckl0GNNj7Rv5,https://api.spotify.com/v1/audio-analysis/5RSeCwyPtZckl0GNNj7Rv5,222787.0,4.0
Crying,Don McLean,https://open.spotify.com/track/2gjQdYRk5A17t5pNxQXmuN,0.302,0.344,0.0,-11.894,1.0,0.0277,0.466,1.53e-06,0.184,0.242,140.763,2gjQdYRk5A17t5pNxQXmuN,spotify:track:2gjQdYRk5A17t5pNxQXmuN,https://api.spotify.com/v1/tracks/2gjQdYRk5A17t5pNxQXmuN,https://api.spotify.com/v1/audio-analysis/2gjQdYRk5A17t5pNxQXmuN,230560.0,4.0
Till Tomorrow,Don McLean,https://open.spotify.com/track/4GLX0kGODwKhFnFps21zx6,0.409,0.126,3.0,-18.198,1.0,0.0317,0.897,0.00127,0.118,0.26,91.496,4GLX0kGODwKhFnFps21zx6,spotify:track:4GLX0kGODwKhFnFps21zx6,https://api.spotify.com/v1/tracks/4GLX0kGODwKhFnFps21zx6,https://api.spotify.com/v1/audio-analysis/4GLX0kGODwKhFnFps21zx6,135373.0,4.0
I'll Be Around,The Spinners,https://open.spotify.com/track/2vLaES21zwbX1Rnmj56Bbb,0.593,0.791,8.0,-8.698,0.0,0.068,0.175,0.0,0.0976,0.63,112.295,2vLaES21zwbX1Rnmj56Bbb,spotify:track:2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/tracks/2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/audio-analysis/2vLaES21zwbX1Rnmj56Bbb,188800.0,4.0
It's A Shame,The Spinners,https://open.spotify.com/track/1l1YTy9nJ0trwhsCGcimly,0.372,0.642,11.0,-11.955,1.0,0.0594,0.0947,0.0,0.117,0.705,198.731,1l1YTy9nJ0trwhsCGcimly,spotify:track:1l1YTy9nJ0trwhsCGcimly,https://api.spotify.com/v1/tracks/1l1YTy9nJ0trwhsCGcimly,https://api.spotify.com/v1/audio-analysis/1l1YTy9nJ0trwhsCGcimly,190058.0,4.0
The Rubberband Man,The Spinners,https://open.spotify.com/track/13Mzsb8VzRSZ5w3pM48cn6,0.801,0.446,10.0,-14.605,1.0,0.0735,0.74,0.038,0.0832,0.925,97.898,13Mzsb8VzRSZ5w3pM48cn6,spotify:track:13Mzsb8VzRSZ5w3pM48cn6,https://api.spotify.com/v1/tracks/13Mzsb8VzRSZ5w3pM48cn6,https://api.spotify.com/v1/audio-analysis/13Mzsb8VzRSZ5w3pM48cn6,213000.0,4.0
Could It Be I'm Falling in Love,The Spinners,https://open.spotify.com/track/5i0urffBRKl09GSX2Jhdeh,0.382,0.727,9.0,-6.677,0.0,0.0861,0.729,0.0,0.196,0.826,207.265,5i0urffBRKl09GSX2Jhdeh,spotify:track:5i0urffBRKl09GSX2Jhdeh,https://api.spotify.com/v1/tracks/5i0urffBRKl09GSX2Jhdeh,https://api.spotify.com/v1/audio-analysis/5i0urffBRKl09GSX2Jhdeh,249733.0,4.0
"Working My Way Back to You / Forgive Me, Girl",The Spinners,https://open.spotify.com/track/1wouF9mtyiwZDYiq5YElaq,0.837,0.703,9.0,-9.385,0.0,0.0415,0.415,2.73e-05,0.153,0.914,121.556,1wouF9mtyiwZDYiq5YElaq,spotify:track:1wouF9mtyiwZDYiq5YElaq,https://api.spotify.com/v1/tracks/1wouF9mtyiwZDYiq5YElaq,https://api.spotify.com/v1/audio-analysis/1wouF9mtyiwZDYiq5YElaq,245480.0,4.0
